"competencia","cnes","nome_estabelecimento","cod_municipio","municipio","uf","tipo_estabelecimento","subtipo_estabelecimento","natureza_juridica","gestao","atende_sus","codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","nivel_complexidade","usar_observatorio","prioridade","criterio_classificacao","status_validacao","competencia_inicio","competencia_fim","numero_leitos","portaria","data_atualizacao","fonte","arquivo_origem","data_processamento"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2402","H","TRANSPLANTE DE CELULAS PROGENITORAS HEMATOPOETICAS ALOGENICO APARENTADO COM HLA IDENTICO","","Outras habilitações estratégicas","A definir","A definir","Média/Alta","Sim","Média","Descrição indica habilitação estratégica fora das linhas centrais iniciais.","revisar","102023","082027","","SAES/MS 3111","15/08/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3203807007698","EMULTI","320380","MUQUI","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","042013","122028","","256","05/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602924803","UNIDADE BASICA DE SAUDE DO SAUE","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","16/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205012499517","NAPS IDALECIO SOSSAI SOORETAMA","320501","SOORETAMA","ES",NA,"OUTROS","MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","042022","999999","","99","23/09/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205012499517","NAPS IDALECIO SOSSAI SOORETAMA","320501","SOORETAMA","ES",NA,"OUTROS","MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201409912290","UNIDADE DE SAUDE DA FAMILIA SILVIA REGINA DE MESQUITA","320140","CASTELO","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122023","999999","","154","19/11/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602770091","UNIDADE BASICA DE SAUDE DE VILA DO RIACHO","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635","15/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602770091","UNIDADE BASICA DE SAUDE DE VILA DO RIACHO","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200607306156","UNIDADE BASICA DE SAUDE DE MOROBA","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200607306156","UNIDADE BASICA DE SAUDE DE MOROBA","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","26/11/2025","CNES","rlEstabSipac202601","2026-05-21"
