"CO_CODIGO_GRUPO";"NO_DESCRICAO_GRUPO";"TP_ORIGEM";"TP_HABILITACAO"
"2516";"ORTOPEDIA - TUMOR OSSEO";"";"H"
"2517";"OUTROS SEGMENTOS OSSEOS";"";"H"
"7004";"HOSPITAL DE ENSINO COM CONTRATO DE GESTAO/METAS - MEC";"";"G"
"2601";"UNIDADE DE TERAPIA INTENSIVA ADULTO - UTI-A TIPO II";"";"H"
"2602";"UTI II NEONATAL";"";"H"
"2603";"UNIDADE DE TERAPIA INTENSIVA PEDIÁTRICA - UTI-PED TIPO II";"";"H"
"2604";"UNIDADE DE TERAPIA INTENSIVA ADULTO - UTI-A TIPO III";"";"H"
"2605";"UTI III NEONATAL";"";"H"
"2606";"UNIDADE DE TERAPIA INTENSIVA PEDIÁTRICA - UTI-PED TIPO III";"";"H"
"7107";"ESTABELECIMENTO SEM GERACAO DE CREDITO NAS ACOES ESPECIALIZADAS DE ODONTOLOGIA(INCENTIVO CEO I,II E III)";"P";"C"
"2701";"HOSPITAL TIPO I EM URGENCIA";"";"H"
"2702";"HOSPITAL TIPO II EM URGENCIA";"";"H"
"2703";"HOSPITAL TIPO III EM URGENCIA";"";"H"
"7108";"ESTABELECIMENTO SEM GERACAO DE CREDITO(INCENTIVO A SAUDE DO TRABALHADOR)";"P";"C"
"2801";"CUIDADOS INTERMEDIARIOS";"";"H"
"0405";"CEO III - CENTRO DE ESPECIALIDADES ODONTOLOGICAS";"";"H"
"2901";"VIDEOCIRURGIAS";"P";"H"
"7001";"HOSPITAL DE ENSINO COM CONTRATO DE GESTAO/METAS";"P";"G"
"5001";"HOSPITAL DE ENSINO";"";"E"
"6001";"HOSPITAL FILANTROPICO";"";"F"
"0623";"CLASSE II ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 20 E 80 COM  PONTUAÇÃO NO PNASH ENTRE 61% E 80 % E NÚMERO DE LEITOS ENTRE 81 E 120 COM PONTUAÇÃO NO PNASH ENTRE 81% E 100%";"";"H"
"2699";"UTI I";"";"H"
"0624";"CLASSE III ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 81 E 120 COM  PONTUAÇÃO NO PNASH ENTRE 61% E 80 % E NÚMERO DE LEITOS ENTRE 121 E 160 COM PONTUAÇÃO NO PNASH ENTRE 81% E 100%";"";"H"
"0625";"CLASSE IV ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 121 E 160 COM  PONTUAÇÃO NO PNASH ENTRE 61% E 80 % E NÚMERO DE LEITOS ENTRE 161 E 200 COM PONTUAÇÃO NO PNASH ENTRE 81% E 100%";"";"H"
"0626";"CLASSE V ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 161 E 200 COM  PONTUAÇÃO NO PNASH ENTRE 61% E 80 % E NÚMERO DE LEITOS ENTRE 201 E 240 COM PONTUAÇÃO NO PNASH ENTRE 81% E 100%";"";"H"
"0627";"CLASSE VI ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 201 E 240 COM  PONTUAÇÃO NO PNASH ENTRE 61% E 80 % E NÚMERO DE LEITOS ENTRE 241 E 400 COM PONTUAÇÃO NO PNASH ENTRE 81% E 100%";"";"H"
"0628";"CLASSE VII ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 241 E 400 COM  PONTUAÇÃO NO PNASH ENTRE 61% E 80 % E NÚMERO DE LEITOS ACIMA DE 400 COM PONTUAÇÃO NO PNASH ENTRE 81% E 100%";"";"H"
"0629";"CLASSE VIII ESTABELECIMENTO COM NÚMERO DE LEITOS  ACIMA DE 400 E PONTUAÇÃO NO PNASH ENTRE 61% E 80%";"";"H"
"2607";"UNIDADE DE TERAPIA INTENSIVA QUEIMADOS - UTI-Q";"";"H"
"0622";"CLASSE I- ESTABELECIMENTO COM NÚMERO DE LEITOS  ENTRE 20 E 80 COM PONTUAÇÃO NO PNASH - PROGRAMA NACIONAL DE AVALIAÇÃO DOS SERVIÇOS HOSPITALARES-  ENTRE 81% E 100%";"";"H"
"0630";"PSIQUIATRIA III";"";"H"
"7101";"ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA MEDIA COMPLEXIDADE AMBULATORIAL";"P";"C"
"7102";"ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA MEDIA COMPLEXIDADE HOSPITALAR";"P";"C"
"7104";"ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA ALTA COMPLEXIDADE HOSPITALAR";"P";"C"
"7103";"ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA ALTA COMPLEXIDADE AMBULATORIAL";"P";"C"
"7105";"ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO PARA OS PROCEDIMENTOS FINANCIADOS COM O FUN
DO DE ACOES ESTRATEGICAS E COMPENSACAO";"P";"C"
"7106";"ESTABELECIMENTO SEM GERAÇÃO DE CREDITO TOTAL - INCLUINDO FAEC";"P";"C"
"7010";"Estabelecimento sem geracao de credito no  grupo 10 - Acoes Especializadas em Odontologia da tabela SIA/SUS";"P";"C"
"1103";"TRATAMENTO DA LIPOATROFIA FACIAL DO PORTADOR DE HIV/AIDS";"";"H"
"1104";"TRATAMENTO DA LIPODISTROFIA DO PORTADOR DE HIV/AIDS";"";"H"
"2305";"ENTERAL E PARENTERAL COM MANIPULACAO E FABRICACAO DA FORMULA NUTRICIONAL";"";"H"
"2697";"UTI I NEONATAL";"";"H"
"2506";"CINTURA PELVICA, QUADRIL, COXA";"";"H"
"2507";"COXA, JOELHO E PERNA";"";"H"
"2696";"UTI I ADULTO";"";"H"
"7109";"ESTABELECIMENTO SEM GERACAO DE CREDITO TOTAL-MEC";"";"C"
"8102";"INTEGRASUS NIVEL B";"";"I"
"8103";"INTEGRASUS NIVEL C";"";"I"
"2698";"UTI I PEDIATRICA";"";"H"
"1105";"LABORATÓRIO ESPECIALIZADO EM CONTAGEM DE LINFÓCITOS T CD4+/CD8+";"";"H"
"1106";"LABORATÓRIO ESPECIALIZADO EM QUANTIFICAÇÃO do RNA do HIV-1";"";"H"
"1706";"UNACON";"";"H"
"1707";"UNACON COM SERVICO DE RADIOTERAPIA";"";"H"
"1708";"UNACON COM SERVICO DE HEMATOLOGIA";"";"H"
"1709";"UNACON COM SERVICO DE ONCOLOGIA PEDIATRICA";"";"H"
"1710";"UNACON EXCLUSIVA DE HEMATOLOGIA";"";"H"
"1711";"UNACON EXCLUSIVA DE ONCOLOGIA PEDIATRICA";"";"H"
"1712";"CACON";"";"H"
"1713";"CACON COM SERVICO DE ONCOLOGIA PEDIATRICA";"";"H"
"1714";"HOSPITAL GERAL COM CIRURGIA ONCOLOGICA";"";"H"
"0202";"UNID.DE ASSIST. DE ALTA COMPLEXIDADE AO PACIENTE PORTADOR DE OBESIDADE GRAVE";"";"H"
"7113";"ESTABELECIMENTO SEM GERAÇÃO DE CREDITO TOTAL - INCLUINDO FAEC - OUTROS ESTABELECIMENTOS FEDERAIS";"";"C"
"7006";"ESTABELECIMENTO DA REDE SARAH";"";"G"
"7007";"ESTABELECIMENTO DE OUTROS ORGÃOS FEDERAIS";"";"G"
"7112";"ESTABELECIMENTO SEM GERAÇÃO DE CREDITO TOTAL - INCLUINDO FAEC  - EXCLUSIVO PARA REDE SARAH";"";"C"
"3001";"UNIDADE DE ATENÇÃO ESPECIALIZADA NO PROCESSO TRANSEXUALIZADOR";"";"H"
"2203";"UNIDADE DE REABILITACAO VISUAL";"";"H"
"7005";"ESTABELECIMENTO DO MINISTERIO DA SAUDE COM CONTRATO DE GESTAO/METAS";"";"G"
"7110";"ESTABELECIMENTO DE SAUDE DA ESTRUTURA DO MINISTERIO DA SAUDE - SEM GERAÇAO DE CREDITO TOTAL";"";"C"
"7111";"ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC";"P";"C"
"1715";"SERVICO DE RADIOTERAPIA DE COMPLEXO HOSPITALAR";"";"H"
"1716";"SERVICO DE ONCOLOGIA CLINICA DE COMPLEXO HOSPITALAR";"";"H"
"8201";"QUALIFICACAO UPA 24H NOVA OPCAO III";"";"I"
"8202";"QUALIFICACAO UPA 24H NOVA OPCAO V";"";"I"
"8203";"QUALIFICACAO UPA 24H NOVA OPCAO VIII";"";"I"
"8204";"UPA 24H AMPLIADA OPCAO III";"";"I"
"8205";"UPA 24H AMPLIADA OPCAO V";"";"I"
"8206";"UPA 24H AMPLIADA OPCAO VIII";"";"I"
"8207";"SAMU 192 Qualificado";"";"I"
"8209";"LEITO DE GESTACAO E PUERPERIO DE ALTO RISCO - GPAR QUALIFICADO";"";"I"
"8211";"UCINCO QUALIFICADA";"";"I"
"8210";"Leito de Cuidado Integral ao Paciente com AVC";"";"I"
"8212";"Porta de Entrada Hospitalar de Urgência (PEHU) - Hospital Geral";"";"I"
"8213";"Porta de Entrada Hospitalar de Urgência (PEHU) - Hospital Especializado Tipo I";"";"I"
"8214";"Porta de Entrada Hospitalar de Urgência (PEHU) - Hospital Especializado Tipo II";"";"I"
"8215";"Enfermaria Clínica de Retaguarda";"";"I"
"8216";"Enfermaria de Retaguarda de Longa Permanência";"";"I"
"8217";"UTI ADULTO - QUALIFICADA MATERNA";"";"I"
"8218";"UTI Rede de Urgência e Emergência";"";"I"
"8219";"Serviço de Atenção Domiciliar (SAD)";"";"I"
"8220";"Saúde Mental";"";"I"
"8221";"Unidade de Acolhimento (UA)";"";"I"
"8222";"Comunidades Terapêuticas";"";"I"
"8223";"Centro Especializado em Reabilitação II (CER II)";"";"I"
"8224";"Centro Especializado em Reabilitação III (CER III)";"";"I"
"8225";"Centro Especializado em Reabilitação IV (CER IV)";"";"I"
"8208";"Sala de Estabilização";"";"I"
"1615";"CENTRO DE ATENDIMENTO DE URGENCIA TIPO I AOS PACIENTES COM AVC";"";"H"
"1616";"CENTRO DE ATENDIMENTO DE URGENCIA TIPO II AOS PACIENTES COM AVC";"";"H"
"1617";"CENTRO DE ATENDIMENTO DE URGENCIA TIPO III AOS PACIENTES COM AVC";"";"H"
"0908";"UNIDADE DE INTERNAÇÃO EM CUIDADOS PROLONGADOS(UCP)";"";"H"
"0915";"ADESÃO DO ESTABELECIMENTO AO PROGRAMA NACIONAL DE APOIO A ATENCAO A SAÚDE DA PESSOA COM DEFICIÊNCIA (PRONAS/PCD)";"";"S"
"0909";" HOSPITAL ESPECIALIZADO EM CUIDADOS PROLONGADOS (HCP)";"";"H"
"1408";"REFERENCIA EM TRIAGEM NEONATAL ETAPA I";"";"H"
"2802";"UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL - UCINCO";"";"H"
"2803";"UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU - UCINCA";"";"H"
"3201";"UNIDADE DE MAMOGRAFIA MÓVEL";"";"H"
"2610";"UNIDADE DE TERAPIA INTENSIVA NEONATAL TIPO II - UTIN II";"";"H"
"2611";"UNIDADE DE TERAPIA INTENSIVA NEONATAL TIPO III - UTIN III";"";"H"
"2204";"CENTRO DE REABILITAÇÃO AUDITIVA NA MÉDIA COMPLEXIDADE";"";"H"
"2205";"CENTRO DE REABILITAÇÃO AUDITIVA NA ALTA COMPLEXIDADE";"";"H"
"2206";"CENTRO DE REABILITAÇÃO INTELECTUAL";"";"H"
"2207";"NUCLEO DE ATENCAO A CRIANCA E ADOLESCENTE COM TRANSTORNO DO ESPECTRO AUTISTA";"";"H"
"2208";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE FISICA";"";"H"
"2209";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE INTELECTUAL";"";"H"
"2210";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE AUDITIVA";"";"H"
"2211";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE VISUAL ";"";"H"
"0914";"ADESÃO DO ESTABELECIMENTO AO PROGRAMA NACIONAL DE APOIO A ATENCAO ONCOLOGICA (PRONON)";"";"S"
"8238";"CEREST ESTADUAL";"";"I"
"8239";"CEREST MUNICIPAL";"";"I"
"8240";"CEREST REGIONAL";"";"I"
"1504";"ATENCAO ESPECIALIZADA EM DRC COM HEMODIALISE";"";"H"
"1505";"ATENCAO ESPECIALIZADA EM DRC COM DIALISE PERITONEAL";"";"H"
"1506";"ATENCAO ESPECIALIZADA EM DRC NOS ESTAGIOS 4 E 5 (PRE-DIALITICO)";"";"H"
"1507";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO I COM HEMODIÁLISE";"";"H"
"1508";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO I COM DIÁLISE PERITONEAL";"";"H"
"1509";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO II COM HEMODIÁLISE";"";"H"
"1510";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO II COM DIÁLISE PERITONEAL";"";"H"
"1511";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO III COM HEMODIÁLISE";"";"H"
"1512";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO III COM DIÁLISE PERITONEAL";"";"H"
"1513";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO IV COM HEMODIÁLISE";"";"H"
"1514";"UNIDADE ESPECIALIZADA EM DRC COM TRS/DIÁLISE TIPO IV COM DIÁLISE PERITONEAL";"";"H"
"8244";"UNIDADE NA DOENÇA RENAL CRÔNICA (DRC) COM OU SEM TRS/DIÁLISE";"";"I"
"8245";"Central de Regulação das Urgências SAMU 192";"";"I"
"8246";"Unidade Móvel de Atendimento Pré-hospitalar Aeromédico SAMU 192";"";"I"
"8247";"Unidade Móvel de Atendimento Pré-hospitalar Ambulancha SAMU 192";"";"I"
"8248";"Unidade Móvel de Atendimento Pré-hospitalar Motolância SAMU 192";"";"I"
"8249";"Unidade Móvel de Atendimento Pré-hospitalar USA SAMU 192";"";"I"
"8250";"Unidade Móvel de Atendimento Pré-hospitalar USB SAMU 192";"";"I"
"8251";"Central de Regulação das Urgências SAMU 192 Qualificada";"";"I"
"8252";"Organização de Procura de Órgãos e Tecidos";"";"I"
"1416";"HOSPITAL AMIGO DA CRIANCA";"";"H"
"3513";"ATENÇÃO ESPECIALIZADA EM DOENÇAS RARAS - EIXO II  DR DE ORIGEM NÃO GENÉTICA: 4 OUTRAS DOENÇAS RARAS DE ORIGEM NÃO GENÉTICA";"";"H"
"3514";"SERVIÇO DE REFERÊNCIA EM DOENÇAS RARAS - EIXO II DR DE ORIGEM NÃO GENÉTICA: 4 OUTRAS DOENÇA RARA DE ORIGEM NÃO GENÉTICA";"";"H"
"3515";"SERVIÇO DE ACONSELHAMENTO GENÉTICO";"";"H"
"7117";"ESTABELECIMENTO DE SAÚDE SEM GERAÇÃO DE CRÉDITO NA MÉDIA COMPLEXIDADE (EXCETO OPM E FAEC) - RCPD";"";"C"
"2711";"ADMINISTRACAO PRE-HOSPITALAR DE TENECTEPLASE";"";"H"
"8253";"INDICE DE VALORIZACAO HOSPITALAR DE EMERGENCIA (IVH-E)";"";"I"
"1417";"UNIDADE DE CENTRO DE PARTO NORMAL PERI-HOSPITALAR 3PPP";"";"H"
"1418";"UNIDADE DE CENTRO DE PARTO NORMAL INTRA-HOSPITALAR TIPO II 3 PPP (CPNI II 3 PPP)";"";"H"
"1419";"UNIDADE DE CENTRO DE PARTO NORMAL INTRA-HOSPITALAR TIPO II 5 PPP (CPNI II 5 PPP)";"";"H"
"3701";"COLETA DE VESTÍGIOS DE VIOLÊNCIA SEXUAL";"";"H"
"1721";"HOSPITAL GERAL COM CIRURGIA DE CANCER DE COMPLEXO HOSPITALAR";"";"H"
"1302";"SERVIÇO DE ATENÇÃO DOMICILIAR";"";"H"
"9501";"ATENCAO PRIMARIA A SAUDE";"";"R"
"9502";"ATENCAO ESPECIALIZADA AMBULATORIAL";"";"R"
"9503";"ATENCAO ESPECIALIZADA HOSPITALAR E DE URGENCIA E EMERGENCIA";"";"R"
"0913";"ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS";"";"S"
"3202";"LABORATÓRIO DE EXAMES CITOPATOLOGICOS DO COLO DE UTERO - TIPO I";"";"H"
"3203";"LABORATÓRIO DE MONITORAMENTO EXTERNO DE QUALIDADE DE EXAMES CITOPATOLOGICOS DE COLO DE UTERO - TIPO II";"";"H"
"3301";"LABORATÓRIO DE REFERÊNCIA NACIONAL (LRN)";"";"H"
"3302";"LABORATÓRIO DE REFERÊNCIA REGIONAL (LRN)";"";"H"
"3303";"CENTRO COLABORADOR";"";"H"
"3304";"LABORATÓRIO DE FRONTEIRA (LF)";"";"H"
"8255";"Leito de Cuidado ao Paciente com AVC Agudo";"";"I"
"2430";"TRANSPLANTE DE FIGADO POR IHH FEBRE AMARELA";"";"H"
"0305";"ATENCAO ESPECIALIZADA AS PESSOAS COM DEFICIENCIA AUDITIVA";"";"H"
"2431";"QUALIDOT NIVEL A";"";"H"
"2432";"QUALIDOT NIVEL B";"";"H"
"2433";"QUALIDOT NIVEL C";"";"H"
"2434";"QUALIDOT NIVEL D";"";"H"
"2435";"QUALIDOT NIVEL E";"";"H"
"1723";"RECONSTRUCAO MAMARIA POS-MASTECTOMIA TOTAL";"";"H"
"8286";"TRANSPORTE SANITARIO ADAPTADO I";"";"I"
"8287";"TRANSPORTE SANITARIO ADAPTADO II";"";"I"
"8288";"TRANSPORTE SANITARIO ADAPTADO III";"";"I"
"8289";"TRANSPORTE SANITARIO ADAPTADO IV";"";"I"
"8290";"NUCLEO DE ATENCAO A CRIANCA E ADOLESCENTE COM TRANSTORNO DO ESPECTRO AUTISTA";"";"I"
"8291";"INCENTIVO DE 20% NO CUSTEIO DO CER HABILITADO COM A MODALIDADE DE REABILITACAO INTELECTUAL";"";"I"
"8119";"HOSPITAL SEM FINS LUCRATIVOS 100% SUS";"";"I"
"2212";"OFICINA ORTOPEDICA FIXA";"";"H"
"2213";"OFICINA ORTOPEDICA ITINERANTE";"";"H"
"1420";"HOSPITAL DE REFERENCIA A GESTACAO E AO PUERPERIO DE ALTO RISCO - HGPAR";"";"H"
"1421";"AMBULATORIO DE GESTACAO E PUERPERIO DE ALTO RISCO - AGPAR";"";"H"
"1422";"AMBULATORIO DE SEGUIMENTO DO RN E CRIANÇA EGRESSO DE UNIDADE NEO - A-SEG";"";"H"
"8292";"UTIN II QUALIFICADA";"";"I"
"8293";"UTIN III QUALIFICADA";"";"I"
"8294";"UCINCA QUALIFICADA";"";"I"
"8295";"BANCO DE LEITE HUMANO - BLH";"";"I"
"8296";"BANCO DE LEITE HUMANO - BLH AUTOSSUFICIENTE";"";"I"
"8297";"TRANSPORTE INTER-HOSPITALAR DA REDE ALYNE";"";"I"
"8298";"CENTRAL DE REGULACAO DO ACESSO - QUALIFICACAO REDE ALYNE";"";"I"
"8299";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS - QUALIFICACAO REDE ALYNE";"";"I"
"2467";"TRANSPLANTE DE MEMBRANA AMNIOTICA";"";"H"
"2468";"BANCO DE MULTITECIDOS";"";"H"
"2469";"TRANSPLANTE PEDIATRICO TIPO I";"";"H"
"2470";"TRANSPLANTE PEDIATRICO TIPO II";"";"H"
"3807";"COMPONENTE ACESSO A RADIOTERAPIA";"";"H"
"2804";"UNIDADE DE CUIDADO INTERMEDIARIO ADULTO - UCI-A";"";"H"
"2805";"UNIDADE DE CUIDADO INTERMEDIARIO PEDIÁTRICA UCI-PED";"";"H"
"2471";"TRANSPLANTE DE CELULAS PROGENITORAS HEMATOPOETICAS ALOGENICO APARENTADO COM HLA HAPLOIDENTICO";"";"H"
"0406";"SERVIÇO DE ESPECIALIDADES EM SAUDE BUCAL";"";"H"
"2466";"TRANSPLANTE DE INTESTINO DELGADO OU MULTIVISCERAL";"";"H"
"3516";"TERAPIA GENICA";"";"H"
"3802";"AGORA TEM ESPECIALISTAS MODALIDADE 1";"";"H"
"3803";"AGORA TEM ESPECIALISTAS MODALIDADE 2 EQUIPES VOLANTES";"";"H"
"3804";"AGORA TEM ESPECIALISTAS MODALIDADE 3 UNIDADES MOVEIS";"";"H"
"3805";"AGORA TEM ESPECIALISTAS - COMPONENTE CREDITOS FINANCEIROS";"";"H"
"3806";"AGORA TEM ESPECIALISTAS - RESSARCIMENTO AO SUS";"";"H"
"3801";"PROGRAMA MAIS ACESSO A ESPECIALISTAS";"P";"H"
"2308";"SERVIÇO DE REFERENCIA EM TRATAMENTO DA PESSOA COM FALENCIA INTESTINAL";"";"H"
"2436";"INCREMENTO FINANCEIRO SNT TMO NIVEL A";"";"H"
"2437";"INCREMENTO FINANCEIRO SNT TMO NIVEL B";"";"H"
"2438";"INCREMENTO FINANCEIRO SNT TMO NIVEL C";"";"H"
"2439";"INCREMENTO FINANCEIRO SNT TMO NIVEL D";"";"H"
"2440";"INCREMENTO FINANCEIRO SNT TMO NIVEL E";"";"H"
"2441";"INCREMENTO FINANCEIRO SNT PANCREAS NIVEL A";"";"H"
"2442";"INCREMENTO FINANCEIRO SNT PANCREAS NIVEL B";"";"H"
"2443";"INCREMENTO FINANCEIRO SNT PANCREAS NIVEL C";"";"H"
"2444";"INCREMENTO FINANCEIRO SNT PANCREAS NIVEL D";"";"H"
"2445";"INCREMENTO FINANCEIRO SNT PANCREAS NIVEL E";"";"H"
"2446";"INCREMENTO FINANCEIRO SNT RIM NIVEL A";"";"H"
"2447";"INCREMENTO FINANCEIRO SNT RIM NIVEL B";"";"H"
"2448";"INCREMENTO FINANCEIRO SNT RIM NIVEL C";"";"H"
"2449";"INCREMENTO FINANCEIRO SNT RIM NIVEL D";"";"H"
"2450";"INCREMENTO FINANCEIRO SNT RIM NIVEL E";"";"H"
"2451";"INCREMENTO FINANCEIRO SNT FIGADO NIVEL A";"";"H"
"2452";"INCREMENTO FINANCEIRO SNT FIGADO NIVEL B";"";"H"
"2453";"INCREMENTO FINANCEIRO SNT FIGADO NIVEL C";"";"H"
"2454";"INCREMENTO FINANCEIRO SNT FIGADO NIVEL D";"";"H"
"2455";"INCREMENTO FINANCEIRO SNT FIGADO NIVEL E";"";"H"
"2456";"INCREMENTO FINANCEIRO SNT PULMAO NIVEL A";"";"H"
"2457";"INCREMENTO FINANCEIRO SNT PULMAO NIVEL B";"";"H"
"2458";"INCREMENTO FINANCEIRO SNT PULMAO NIVEL C";"";"H"
"2459";"INCREMENTO FINANCEIRO SNT PULMAO NIVEL D";"";"H"
"2460";"INCREMENTO FINANCEIRO SNT PULMAO NIVEL E";"";"H"
"2461";"INCREMENTO FINANCEIRO SNT CORACAO NIVEL A";"";"H"
"2462";"INCREMENTO FINANCEIRO SNT CORACAO NIVEL B";"";"H"
"2463";"INCREMENTO FINANCEIRO SNT CORACAO NIVEL C";"";"H"
"2464";"INCREMENTO FINANCEIRO SNT CORACAO NIVEL D";"";"H"
"2465";"INCREMENTO FINANCEIRO SNT CORACAO NIVEL E";"";"H"
"2902";"PMAE - COMPONENTE CIRURGIAS";"P";"H"
"8116";"DRC CATEGORIA I";"";"I"
"1618";"NEUROCIRURGIA ENDOVASCULAR/TROMBECTOMIA MECANICA";"";"H"
"8117";"DRC CATEGORIA II";"";"I"
