"CO_CODIGO_GRUPO";"NO_DESCRICAO_GRUPO";"TP_ORIGEM";"TP_HABILITACAO"
"3505";"ATENÇÃO ESPECIALIZADA EIXO II DR DE ORIGEM NÃO GENÉTICA: 2 DOENÇAS RARAS INFECCIOSAS";"";"H"
"3506";"ATENÇÃO ESPECIALIZADA EIXO II DR DE ORIGEM NÃO GENÉTICA: 2 DOENÇAS RARAS AUTOIMUNES";"";"H"
"3507";"SERVIÇO DE REFERÊNCIA EIXO I DR DE ORIGEM GENÉTICA: 1 ANOMALIAS CONGÊNITAS OU DE MANIFESTAÇÃO TARDIA";"";"H"
"3508";"SERVIÇO DE REFERÊNCIA EIXO I DR DE ORIGEM GENÉTICA: 2 DEFICIENCIA INTELECTUAL";"";"H"
"3509";"SERVIÇO DE REFERÊNCIA EIXO I DR DE ORIGEM GENÉTICA: 3 ERRO INATO DO METABOLISMO (EIM)";"";"H"
"3510";"SERVIÇO DE REFERÊNCIA EIXO II DR DE ORIGEM NÃO GENÉTICA 3-DOENÇAS RARAS AUTOIMUNES";"";"H"
"3511";"SERVIÇO DE REFERÊNCIA EIXO II DR DE ORIGEM NÃO GENÉTICA 2-DOENÇAS RARAS INFLAMATÓRIAS";"";"H"
"3512";"SERVIÇO DE REFERÊNCIA EIXO II DR DE ORIGEM NÃO GENÉTICA 1-DOENÇAS RARAS INFECCIOSAS";"";"H"
"3002";"ATENÇÃO ESPECIALIZADA NO PROCESSO TRANSEXUALIZADOR - MODALIDADE AMBULATORIAL";"";"H"
"3003";"ATENÇÃO ESPECIALIZADA NO PROCESSO TRANSEXUALIZADOR - MODALIDADE HOSPITALAR";"";"H"
"8254";"CENTRO DE INFORMAÇÃO E ASSISTÊNCIA TOXICOLÓGICA (CIATOX)";"";"I"
"2612";"UTI II ADULTO - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID-19";"";"H"
"2613";"UTI II PEDIATRICA - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID-19";"";"H"
"8271";"ENFERMARIA CLINICA DE RETAGUARDA - NOVOS";"";"I"
"8272";"ENFERMARIA CLINICA DE RETAGUARDA - QUALIFICADOS";"";"I"
"8273";"UTI ADULTO RUE TIPO II - NOVOS";"";"I"
"8274";"UTI ADULTO RUE TIPO II - QUALIFICADOS";"";"I"
"8275";"UTI PEDIATRICO RUE TIPO II - NOVOS";"";"I"
"8276";"UTI PEDIATRICO RUE TIPO II - QUALIFICADOS";"";"I"
