codigo_habilitacao;tipo_habilitacao;descricao_habilitacao;origem_habilitacao;linha_cuidado;sublinha_cuidado;componente_rede;nivel_complexidade;usar_observatorio;prioridade;fonte_cnes;fonte_normativa;criterio_classificacao;status_validacao;observacao
9404;R;ATENÇÃO RESIDENCIAL DE CARATER TRANSITORIO;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9405;R;ATENÇÃO HOSPITALAR;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8231;I;CEO-I - Rede de Cuidados à Pessoa com Deficiência;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9406;R;REABILITAÇÃO PSICOSSOCIAL;;Outras habilitações estratégicas;A definir;A definir;Média/Alta;Sim;Média;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição indica habilitação estratégica fora das linhas centrais iniciais.;revisar;"Classificação preliminar; revisar com base normativa específica."
8233;I;CEO-III - Rede de Cuidados à Pessoa com Deficiência;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8234;I;Oficina Ortopédica Fixa;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8235;I;Oficina Ortopédica Itinerante Terrestre;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8236;I;OFICINA ORTOPEDICA ITINERANTE FLUVIAL;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
2806;H;LEITO COM SUPORTE VENTILATÓRIO PULMONAR - COVID-19;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8256;I;QUALIFICACAO UPA 24H NOVA OPCAO I;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
