"codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","usar_observatorio","prioridade","status_validacao","n_registros","n_estabelecimentos","n_municipios","exemplos_cnes","exemplos_municipios","categoria_auditoria_escopo","recomendacao_auditoria"
"2304","H","ENTERAL E PARENTERAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",9,9,4,"3201202485680 | 3201202547821 | 3205300011746 | 3201202485729 | 3201502448521","CACHOEIRO DE ITAPEMIRIM | VITORIA | COLATINA | SERRA","Outro tema futuro","Considerar como futura linha temática"
"1101","H","SERVICO HOSPITALAR PARA TRATAMENTO AIDS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",8,8,4,"3201202485680 | 3201202547821 | 3205300011746 | 3205304044916 | 3205002486199","CACHOEIRO DE ITAPEMIRIM | VITORIA | SERRA | SAO MATEUS","Componente hospitalar genérico","Manter fora do escopo"
"2501","H","UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM TRAUMATO-ORTOPEDIA*","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",8,8,4,"3205202494442 | 3201202485680 | 3205300011746 | 3205002486199 | 3205007257406","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA | SERRA","Reabilitação/deficiência","Considerar como futura linha temática"
"2901","H","VIDEOCIRURGIAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",8,8,6,"3205202494442 | 3201202547821 | 3205300011746 | 3205304044916 | 3203202465825","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA | LINHARES | NOVA VENECIA","Outro tema futuro","Considerar como futura linha temática"
"8101","I","INTEGRASUS NIVEL A","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",8,8,8,"3205300011746 | 3204602532190 | 3204902484072 | 3202602615339 | 3203802446782","VITORIA | SANTA TERESA | SAO MATEUS | ICONHA | MUQUI","Programático/incentivo","Manter fora do escopo"
"1601","H","UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM NEUROLOGIA/NEUROCIRURGIA*. ","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",7,7,5,"3205202494442 | 3201202547821 | 3205002486199 | 3203202465833 | 3205300011800","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | SERRA | LINHARES | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"7008","G","ESTABELECIMENTO DE SAÚDE PRIVADO AMBULATORIAL COM CONTRATO DE GESTÃO/METAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",7,7,5,"3205200980838 | 3202652886219 | 3203206371353 | 3203206370675 | 3201004682270","VILA VELHA | IRUPI | LINHARES | BOA ESPERANCA | COLATINA","Outro tema futuro","Considerar como futura linha temática"
"2802","H","UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL - UCINCO","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",6,6,6,"3205304044916 | 3201202485729 | 3201502448521 | 3203202465833 | 3205007257406","VITORIA | CACHOEIRO DE ITAPEMIRIM | COLATINA | LINHARES | SERRA","Outro tema futuro","Considerar como futura linha temática"
"7117","C","ESTABELECIMENTO DE SAÚDE SEM GERAÇÃO DE CRÉDITO NA MÉDIA COMPLEXIDADE (EXCETO OPM E FAEC) - RCPD","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",6,6,6,"3201503845443 | 3203909268650 | 3205202709023 | 3201209043381 | 3202402652730","COLATINA | NOVA VENECIA | VILA VELHA | CACHOEIRO DE ITAPEMIRIM | GUARAPARI","Outro tema futuro","Considerar como futura linha temática"
"8107","I","NASF","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",6,6,6,"3205300012033 | 3202652628058 | 3202703135764 | 3200165439892 | 3205175425719","VITORIA | IRUPI | ITAGUACU | AGUA DOCE DO NORTE | VILA VALERIO","Outro tema futuro","Considerar como futura linha temática"
"8117","I","DRC CATEGORIA II","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",6,6,4,"3201202547821 | 3205304044916 | 3202302447029 | 3205003422178 | 3205300012297","CACHOEIRO DE ITAPEMIRIM | VITORIA | GUACUI | SERRA","Outro tema futuro","Considerar como futura linha temática"
"8214","I","Porta de Entrada Hospitalar de Urgência (PEHU) - Hospital Especializado Tipo II","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",6,6,4,"3205202494442 | 3205300011746 | 3201502448521 | 3203202465833 | 3205300011800","VILA VELHA | VITORIA | COLATINA | LINHARES","Componente hospitalar genérico","Manter fora do escopo"
"2803","H","UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU - UCINCA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",5,5,5,"3205304044916 | 3201202485729 | 3203202465833 | 3205007257406 | 3205202678179","VITORIA | CACHOEIRO DE ITAPEMIRIM | LINHARES | SERRA | VILA VELHA","Outro tema futuro","Considerar como futura linha temática"
"7104","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA ALTA COMPLEXIDADE HOSPITALAR","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",5,5,4,"3205200980838 | 3205109912843 | 3201209132813 | 3205002485958 | 3205009958762","VILA VELHA | VIANA | CACHOEIRO DE ITAPEMIRIM | SERRA","Programático/incentivo","Manter fora do escopo"
"0903","H","CUIDADOS PROLONGADOS - ENFERMIDADES NEUROLÓGICAS ","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,3,"3205033855430 | 3203702547090 | 3203202465833 | 3203202465825","VARGEM ALTA | MUNIZ FREIRE | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"1203","H","HOSPITAL DIA - AIDS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,2,"3201202547821 | 3205300011746 | 3205304044916 | 3205300011800","CACHOEIRO DE ITAPEMIRIM | VITORIA","Componente hospitalar genérico","Manter fora do escopo"
"1404","H","HOSPITAL AMIGO DA CRIANCA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,3,"3201902402882 | 3205002486199 | 3205002485966 | 3202802447274","DOMINGOS MARTINS | SERRA | ITAPEMIRIM","Componente hospitalar genérico","Manter fora do escopo"
"1708","H","UNACON COM SERVICO DE HEMATOLOGIA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,3,"3205202494442 | 3201202547821 | 3205300011746 | 3205304044916","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2801","H","CUIDADOS INTERMEDIARIOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,2,"3205304044916 | 3205300011843 | 3205202465787 | 3205206744842","VITORIA | VILA VELHA","Outro tema futuro","Considerar como futura linha temática"
"7107","C","ESTABELECIMENTO SEM GERACAO DE CREDITO NAS ACOES ESPECIALIZADAS DE ODONTOLOGIA(INCENTIVO CEO I,II E III)","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,4,"3205303038467 | 3201202547619 | 3205002465795 | 3203105504686","VITORIA | CACHOEIRO DE ITAPEMIRIM | SERRA | JERONIMO MONTEIRO","Programático/incentivo","Manter fora do escopo"
"7114","C","ESTABELECIMENTO DE SAÚDE SEM GERAÇÃO DE CRÉDITO TOTAL, INCLUSIVE FAEC - PRONTO ATENDIMENTO","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",4,4,3,"3202402466422 | 3201209132813 | 3205002485958 | 3205005387582","GUARAPARI | CACHOEIRO DE ITAPEMIRIM | SERRA","Outro tema futuro","Considerar como futura linha temática"
"0202","H","UNID.DE ASSIST. DE ALTA COMPLEXIDADE AO PACIENTE PORTADOR DE OBESIDADE GRAVE","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3205202494442 | 3201202547821 | 3205304044916","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"0405","H","CEO III - CENTRO DE ESPECIALIDADES ODONTOLOGICAS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3205303038467 | 3201503845419 | 3201204572963","VITORIA | COLATINA | CACHOEIRO DE ITAPEMIRIM","Potencial falso negativo","Revisar classificação no Ciclo 1"
"0907","H","CUIDADOS PROLONGADOS - ENFERMIDADES DEVIDO A CAUSAS EXTERNAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,2,"3205033855430 | 3203202465833 | 3203202465825","VARGEM ALTA | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"1301","H","INTERNACAO DOMICILIAR","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3205002486199 | 3205202546957 | 3205300011819","SERRA | VILA VELHA | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1420","H","HOSPITAL DE REFERENCIA A GESTACAO E AO PUERPERIO DE ALTO RISCO - HGPAR","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3201202547821 | 3201502448521 | 3205007257406","CACHOEIRO DE ITAPEMIRIM | COLATINA | SERRA","Componente hospitalar genérico","Manter fora do escopo"
"2303","H","ENTERAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3205202494442 | 3205304044916 | 3203202465833","VILA VELHA | VITORIA | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"8231","I","CEO-I - Rede de Cuidados à Pessoa com Deficiência","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3205307160305 | 3205206744842 | 3201202547619","VITORIA | VILA VELHA | CACHOEIRO DE ITAPEMIRIM","Potencial falso negativo","Revisar classificação no Ciclo 1"
"8240","I","CEREST REGIONAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",3,3,3,"3201205751985 | 3201505516714 | 3201304377729","CACHOEIRO DE ITAPEMIRIM | COLATINA | CARIACICA","Outro tema futuro","Considerar como futura linha temática"
"0506","H","TRATAMENTO DO GLAUCOMA COM MEDICAMENTOS NO AMBITO DA POLITICA NACIONAL DE ATENCAO OFTALMOLOGICA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3205202494442 | 3205304044916","VILA VELHA | VITORIA","Saúde auditiva/visual","Revisar classificação no Ciclo 1"
"0902","H","CUIDADOS PROLONGADOS - ENFERMIDADES PNEUMOLOGICAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3204802547317 | 3203202465825","SAO JOSE DO CALCADO | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"0904","H","CUIDADOS PROLONGADOS - ENFERMIDADES OSTEOMUSCULAR E DO TECIDO CONJUNTIVO","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,1,"3203202465833 | 3203202465825","LINHARES","Outro tema futuro","Considerar como futura linha temática"
"0906","H","CUIDADOS PROLONGADOS - ENFERMIDADES DECORRENTES DA AIDS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3203202465825 | 3205300012017","LINHARES | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1102","H","LABORATÓRIO ESPECIALIZADO EM CONTAGEM DE LINFÓCITOS T CD4+/CD8+ e HIV-1 QUANTIFICAÇÃO do RNA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,1,"3205304044916 | 3205300012424","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1706","H","UNACON","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3201502448521 | 3203202465833","COLATINA | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"2102","H","CENTRO DE REFERENCIA EM ASSISTENCIA A QUEIMADOS - ALTA COMPLEXIDADE","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3205007257406 | 3205300011800","SERRA | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2413","H","BANCO DE TECIDO OCULAR HUMANO","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3205202494442 | 3205304044916","VILA VELHA | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2446","H","INCREMENTO FINANCEIRO SNT RIM NIVEL A","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3201302494450 | 3205202494442","CARIACICA | VILA VELHA","Transplantes","Revisar classificação no Ciclo 1"
"3805","H","AGORA TEM ESPECIALISTAS - COMPONENTE CREDITOS FINANCEIROS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3205003450198 | 3201504833694","SERRA | COLATINA","Programático/incentivo","Manter fora do escopo"
"3807","H","COMPONENTE ACESSO A RADIOTERAPIA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3201202547821 | 3205300011738","CACHOEIRO DE ITAPEMIRIM | VITORIA","Outro tema futuro","Considerar como futura linha temática"
"7003","G","HOSPITAL FILANTROPICO COM CONTRATO DE GESTAO/METAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3205062403331 | 3204602532190","VENDA NOVA DO IMIGRANTE | SANTA TERESA","Componente hospitalar genérico","Manter fora do escopo"
"7106","C","ESTABELECIMENTO SEM GERAÇÃO DE CREDITO TOTAL - INCLUINDO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3204602532190 | 3204552569213","SANTA TERESA | SANTA MARIA DE JETIBA","Programático/incentivo","Manter fora do escopo"
"8116","I","DRC CATEGORIA I","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3201502448424 | 3202404044614","COLATINA | GUARAPARI","Outro tema futuro","Considerar como futura linha temática"
"8209","I","LEITO DE GESTACAO E PUERPERIO DE ALTO RISCO - GPAR QUALIFICADO","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3201502448521 | 3203202465833","COLATINA | LINHARES","Componente hospitalar genérico","Manter fora do escopo"
"8232","I","CEO-II - Rede de Cuidados à Pessoa com Deficiência","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3205303038467 | 3201203239284","VITORIA | CACHOEIRO DE ITAPEMIRIM","Potencial falso negativo","Revisar classificação no Ciclo 1"
"8238","I","CEREST ESTADUAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3204907455828 | 3201306404251","SAO MATEUS | CARIACICA","Outro tema futuro","Considerar como futura linha temática"
"9202","R","PARTO E NASCIMENTO","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",2,2,2,"3201502448521 | 3203202465833","COLATINA | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"0305","H","ATENCAO ESPECIALIZADA AS PESSOAS COM DEFICIENCIA AUDITIVA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205304044916","VITORIA","Reabilitação/deficiência","Considerar como futura linha temática"
"0615","H","PNASS MAIOR QUE 80%","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201202547783","CACHOEIRO DE ITAPEMIRIM","Outro tema futuro","Considerar como futura linha temática"
"0815","H","IMPLANTE PERCUTÂNEO DE VÁLVULA AÓRTICA (TAVI)","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205202494442","VILA VELHA","Outro tema futuro","Considerar como futura linha temática"
"0908","H","UNIDADE DE INTERNAÇÃO EM CUIDADOS PROLONGADOS(UCP)","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3203902484943","NOVA VENECIA","Outro tema futuro","Considerar como futura linha temática"
"1104","H","TRATAMENTO DA LIPODISTROFIA DO PORTADOR DE HIV/AIDS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011746","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1406","H","CENTRO DE REFERENCIA EM TRIAGEM NEONATAL /ACOMPANHAMENTO E TRATAMENTO - DOENCAS FALCIFORMES E OUTRAS HEMOGLOBINOPATIAS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300012432","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1407","H","CENTRO DE REFERENCIA EM TRIAGEM NEONATAL/ACOMPANHAMENTO E TRATAMENTO - FIBROSE CISTICA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300012432","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1408","H","REFERENCIA EM TRIAGEM NEONATAL ETAPA I","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300012432","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1409","H","SERVIÇO DIAGNÓSTICO DE FIBROSE CÍSTICA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300012432","VITORIA","Outro tema futuro","Considerar como futura linha temática"
