"codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","usar_observatorio","prioridade","status_validacao","n_registros","n_estabelecimentos","n_municipios","exemplos_cnes","exemplos_municipios","categoria_auditoria_escopo","recomendacao_auditoria"
"3203","H","LABORATÓRIO DE MONITORAMENTO EXTERNO DE QUALIDADE DE EXAMES CITOPATOLOGICOS DE COLO DE UTERO - TIPO II","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300012424","VITORIA","Potencial falso negativo","Revisar classificação no Ciclo 1"
"3501","H","ATENÇÃO ESPECIALIZADA EIXO I DR DE ORIGEM GENÉTICA: 1 ANOMALIAS CONGÊNITAS OU DE MANIFESTAÇÃO TARDIA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011746","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"7004","G","HOSPITAL DE ENSINO COM CONTRATO DE GESTAO/METAS - MEC","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205304044916","VITORIA","Componente hospitalar genérico","Manter fora do escopo"
"7009","G","ESTABELECIMENTO DE SAÚDE PRIVADO HOSPITALAR COM CONTRATO DE GESTÃO/METAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205000303550","SERRA","Componente hospitalar genérico","Manter fora do escopo"
"7100","C","TABELA DE NAO GERACAO DE CREDITO POR PRODUCAO NA INTERNACAO E/OU AMBULATORIO","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3202807336578","ITAPEMIRIM","Programático/incentivo","Manter fora do escopo"
"7101","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA MEDIA COMPLEXIDADE AMBULATORIAL","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201902402882","DOMINGOS MARTINS","Programático/incentivo","Manter fora do escopo"
"7102","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA MEDIA COMPLEXIDADE HOSPITALAR","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201902402882","DOMINGOS MARTINS","Programático/incentivo","Manter fora do escopo"
"7103","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO NA ALTA COMPLEXIDADE AMBULATORIAL","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201902402882","DOMINGOS MARTINS","Programático/incentivo","Manter fora do escopo"
"7108","C","ESTABELECIMENTO SEM GERACAO DE CREDITO(INCENTIVO A SAUDE DO TRABALHADOR)","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201205751985","CACHOEIRO DE ITAPEMIRIM","Programático/incentivo","Manter fora do escopo"
"7109","C","ESTABELECIMENTO SEM GERACAO DE CREDITO TOTAL-MEC","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205304044916","VITORIA","Programático/incentivo","Manter fora do escopo"
"8104","I","IAE-PI","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3200606644678","ARACRUZ","Outro tema futuro","Considerar como futura linha temática"
"8210","I","Leito de Cuidado Integral ao Paciente com AVC","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205306559131","VITORIA","Componente hospitalar genérico","Manter fora do escopo"
"8213","I","Porta de Entrada Hospitalar de Urgência (PEHU) - Hospital Especializado Tipo I","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201202485680","CACHOEIRO DE ITAPEMIRIM","Componente hospitalar genérico","Manter fora do escopo"
"8234","I","Oficina Ortopédica Fixa","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205202709023","VILA VELHA","Reabilitação/deficiência","Considerar como futura linha temática"
"8239","I","CEREST MUNICIPAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300039462","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"8254","I","CENTRO DE INFORMAÇÃO E ASSISTÊNCIA TOXICOLÓGICA (CIATOX)","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011800","VITORIA","Outro tema futuro","Considerar como futura linha temática"
